Gouvernement,Acide N-acétylanthranilique,Acide lysergique,Acide phénylacétique,Alpha-phénylacétoacétonitrile,Anhydride acétique,4-anilino-N-phénétyl-piperidine(ANPP),Ephédrine,Ergométrine,Ergotamine,Isosafrole,3.4-Méthylénedioxy-phénylpropane-2-one,Noréphédrine,Permanganate de potassium,N-phénétyl-4-pipréridone(NPP),Phényl 1 Propanone 2,Pipéronal,Pseudoéphédrine,Safrole,Acétone,Acide anthranilique,Acide chlorhydrique,Acide sulfurique,Ether éthylique,Méthyléthylcétone,Pipéridine,Toluéne
Qatar,4,NULL,4,NULL,4,NULL,4,NULL,NULL,4,4,NULL,4,NULL,4,4,4,4,4,4,4,4,4,4,NULL,4
Syrie,X,P,X,NULL,X,NULL,Y,Y,Y,X,X,NULL,X,NULL,X,X,Y,X,X,X,X,X,X,X,X,X
Corée Du Sud,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0
République De La Moldavie,4,4,4,NULL,4,NULL,4,4,4,4,4,4,4,NULL,4,4,4,4,4,4,4,4,4,4,4,4
République Du Congo,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
République Démocratique Populaire Du Lao,X,X,X,NULL,X,NULL,Y,X,X,X,X,X,X,NULL,X,X,Y,Y,X,X,X,X,X,X,X,X
République Dominicaine,4,4,4,NULL,4,NULL,4,4,4,4,4,4,4,NULL,4,4,4,4,4,4,4,4,4,4,4,4
Corée Du Nord,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
République Tchéque,4,4,2,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,0,2,0,0,0,0,2,0
Roumanie,4,4,2,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,0,2,0,0,0,0,2,0
Royaume-Uni,4,4,2,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,0,2,0,0,0,0,2,0
Sainte-Lucie,4,4,4,NULL,4,NULL,4,4,4,4,4,4,4,NULL,4,4,4,4,4,4,4,4,4,4,4,4
Serbie,NULL,Y,NULL,4,Y,4,Y,Y,Y,NULL,NULL,NULL,Y,4,Y,NULL,Y,NULL,NULL,NULL,Y,Y,NULL,Y,NULL,Y
Seychelles,4,4,4,NULL,4,NULL,4,4,4,4,4,4,4,NULL,4,4,4,4,4,4,4,4,4,4,4,4
Sierra Leone,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Singapour,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4
Slovaquie,4,4,2,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,0,2,0,0,0,0,2,0
Slovénie,4,4,2,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,0,2,0,0,0,0,2,0
